Freq.	V(oh_full)
2.29739670999409e+002	(-3.02724359212995e+001dB,-9.23634701624406e+001°)
2.30537269359775e+002	(-3.02423601573783e+001dB,-9.23715219979916e+001°)
2.31337636781060e+002	(-3.02122845827127e+001dB,-9.23796022793696e+001°)
2.32140782876746e+002	(-3.01822091986179e+001dB,-9.23877111032190e+001°)
2.32946717293693e+002	(-3.01521340064185e+001dB,-9.23958485665225e+001°)
2.33755449712251e+002	(-3.01220590074482e+001dB,-9.24040147666027e+001°)
2.34566989846378e+002	(-3.00919842030497e+001dB,-9.24122098011229e+001°)
2.35381347443756e+002	(-3.00619095945753e+001dB,-9.24204337680883e+001°)
2.36198532285908e+002	(-3.00318351833867e+001dB,-9.24286867658472e+001°)
2.37018554188319e+002	(-3.00017609708548e+001dB,-9.24369688930921e+001°)
2.37841423000546e+002	(-2.99716869583602e+001dB,-9.24452802488608e+001°)
2.38667148606347e+002	(-2.99416131472929e+001dB,-9.24536209325375e+001°)
2.39495740923788e+002	(-2.99115395390529e+001dB,-9.24619910438540e+001°)
2.40327209905372e+002	(-2.98814661350494e+001dB,-9.24703906828910e+001°)
2.41161565538154e+002	(-2.98513929367019e+001dB,-9.24788199500791e+001°)
2.41998817843861e+002	(-2.98213199454393e+001dB,-9.24872789461997e+001°)
2.42838976879012e+002	(-2.97912471627007e+001dB,-9.24957677723868e+001°)
2.43682052735041e+002	(-2.97611745899350e+001dB,-9.25042865301276e+001°)
2.44528055538416e+002	(-2.97311022286013e+001dB,-9.25128353212638e+001°)
2.45376995450763e+002	(-2.97010300801687e+001dB,-9.25214142479930e+001°)
2.46228882668986e+002	(-2.96709581461166e+001dB,-9.25300234128695e+001°)
2.47083727425388e+002	(-2.96408864279345e+001dB,-9.25386629188059e+001°)
2.47941539987800e+002	(-2.96108149271224e+001dB,-9.25473328690741e+001°)
2.48802330659696e+002	(-2.95807436451906e+001dB,-9.25560333673061e+001°)
2.49666109780325e+002	(-2.95506725836599e+001dB,-9.25647645174959e+001°)
2.50532887724828e+002	(-2.95206017440617e+001dB,-9.25735264240002e+001°)
2.51402674904368e+002	(-2.94905311279379e+001dB,-9.25823191915399e+001°)
2.52275481766252e+002	(-2.94604607368411e+001dB,-9.25911429252007e+001°)
2.53151318794058e+002	(-2.94303905723349e+001dB,-9.25999977304354e+001°)
2.54030196507760e+002	(-2.94003206359935e+001dB,-9.26088837130638e+001°)
2.54912125463855e+002	(-2.93702509294020e+001dB,-9.26178009792751e+001°)
2.55797116255488e+002	(-2.93401814541566e+001dB,-9.26267496356283e+001°)
2.56685179512583e+002	(-2.93101122118646e+001dB,-9.26357297890536e+001°)
2.57576325901968e+002	(-2.92800432041444e+001dB,-9.26447415468542e+001°)
2.58470566127501e+002	(-2.92499744326256e+001dB,-9.26537850167064e+001°)
2.59367910930205e+002	(-2.92199058989490e+001dB,-9.26628603066622e+001°)
2.60268371088389e+002	(-2.91898376047670e+001dB,-9.26719675251492e+001°)
2.61171957417786e+002	(-2.91597695517433e+001dB,-9.26811067809728e+001°)
2.62078680771675e+002	(-2.91297017415531e+001dB,-9.26902781833172e+001°)
2.62988552041017e+002	(-2.90996341758835e+001dB,-9.26994818417463e+001°)
2.63901582154582e+002	(-2.90695668564329e+001dB,-9.27087178662052e+001°)
2.64817782079082e+002	(-2.90394997849117e+001dB,-9.27179863670219e+001°)
2.65737162819305e+002	(-2.90094329630421e+001dB,-9.27272874549075e+001°)
2.66659735418243e+002	(-2.89793663925583e+001dB,-9.27366212409587e+001°)
2.67585510957225e+002	(-2.89493000752065e+001dB,-9.27459878366579e+001°)
2.68514500556056e+002	(-2.89192340127450e+001dB,-9.27553873538754e+001°)
2.69446715373141e+002	(-2.88891682069441e+001dB,-9.27648199048703e+001°)
2.70382166605628e+002	(-2.88591026595868e+001dB,-9.27742856022915e+001°)
2.71320865489537e+002	(-2.88290373724680e+001dB,-9.27837845591796e+001°)
2.72262823299898e+002	(-2.87989723473954e+001dB,-9.27933168889676e+001°)
2.73208051350882e+002	(-2.87689075861889e+001dB,-9.28028827054827e+001°)
2.74156560995944e+002	(-2.87388430906814e+001dB,-9.28124821229470e+001°)
2.75108363627952e+002	(-2.87087788627181e+001dB,-9.28221152559795e+001°)
2.76063470679329e+002	(-2.86787149041574e+001dB,-9.28317822195968e+001°)
2.77021893622188e+002	(-2.86486512168701e+001dB,-9.28414831292147e+001°)
2.77983643968470e+002	(-2.86185878027405e+001dB,-9.28512181006494e+001°)
2.78948733270084e+002	(-2.85885246636655e+001dB,-9.28609872501192e+001°)
2.79917173119042e+002	(-2.85584618015554e+001dB,-9.28707906942452e+001°)
2.80888975147603e+002	(-2.85283992183338e+001dB,-9.28806285500528e+001°)
2.81864151028407e+002	(-2.84983369159373e+001dB,-9.28905009349735e+001°)
2.82842712474622e+002	(-2.84682748963162e+001dB,-9.29004079668456e+001°)
2.83824671240080e+002	(-2.84382131614344e+001dB,-9.29103497639160e+001°)
2.84810039119418e+002	(-2.84081517132691e+001dB,-9.29203264448413e+001°)
2.85798827948222e+002	(-2.83780905538113e+001dB,-9.29303381286891e+001°)
2.86791049603169e+002	(-2.83480296850660e+001dB,-9.29403849349395e+001°)
2.87786716002167e+002	(-2.83179691090519e+001dB,-9.29504669834865e+001°)
2.88785839104502e+002	(-2.82879088278018e+001dB,-9.29605843946391e+001°)
2.89788430910979e+002	(-2.82578488433624e+001dB,-9.29707372891229e+001°)
2.90794503464065e+002	(-2.82277891577947e+001dB,-9.29809257880813e+001°)
2.91804068848038e+002	(-2.81977297731741e+001dB,-9.29911500130772e+001°)
2.92817139189128e+002	(-2.81676706915902e+001dB,-9.30014100860938e+001°)
2.93833726655665e+002	(-2.81376119151472e+001dB,-9.30117061295363e+001°)
2.94853843458224e+002	(-2.81075534459637e+001dB,-9.30220382662336e+001°)
2.95877501849771e+002	(-2.80774952861732e+001dB,-9.30324066194391e+001°)
2.96904714125813e+002	(-2.80474374379238e+001dB,-9.30428113128324e+001°)
2.97935492624544e+002	(-2.80173799033787e+001dB,-9.30532524705206e+001°)
2.98969849726991e+002	(-2.79873226847157e+001dB,-9.30637302170398e+001°)
3.00007797857167e+002	(-2.79572657841282e+001dB,-9.30742446773566e+001°)
3.01049349482217e+002	(-2.79272092038244e+001dB,-9.30847959768689e+001°)
3.02094517112569e+002	(-2.78971529460279e+001dB,-9.30953842414083e+001°)
3.03143313302083e+002	(-2.78670970129778e+001dB,-9.31060095972406e+001°)
3.04195750648205e+002	(-2.78370414069285e+001dB,-9.31166721710677e+001°)
3.05251841792115e+002	(-2.78069861301503e+001dB,-9.31273720900290e+001°)
3.06311599418880e+002	(-2.77769311849290e+001dB,-9.31381094817025e+001°)
3.07375036257606e+002	(-2.77468765735664e+001dB,-9.31488844741068e+001°)
3.08442165081592e+002	(-2.77168222983800e+001dB,-9.31596971957020e+001°)
3.09512998708482e+002	(-2.76867683617036e+001dB,-9.31705477753914e+001°)
3.10587550000420e+002	(-2.76567147658870e+001dB,-9.31814363425228e+001°)
3.11665831864204e+002	(-2.76266615132964e+001dB,-9.31923630268901e+001°)
3.12747857251441e+002	(-2.75966086063144e+001dB,-9.32033279587349e+001°)
3.13833639158704e+002	(-2.75665560473398e+001dB,-9.32143312687474e+001°)
3.14923190627685e+002	(-2.75365038387884e+001dB,-9.32253730880684e+001°)
3.16016524745355e+002	(-2.75064519830925e+001dB,-9.32364535482905e+001°)
3.17113654644118e+002	(-2.74764004827014e+001dB,-9.32475727814598e+001°)
3.18214593501971e+002	(-2.74463493400811e+001dB,-9.32587309200770e+001°)
3.19319354542664e+002	(-2.74162985577150e+001dB,-9.32699280970992e+001°)
3.20427951035853e+002	(-2.73862481381034e+001dB,-9.32811644459414e+001°)
3.21540396297264e+002	(-2.73561980837641e+001dB,-9.32924401004775e+001°)
3.22656703688854e+002	(-2.73261483972323e+001dB,-9.33037551950426e+001°)
3.23776886618967e+002	(-2.72960990810608e+001dB,-9.33151098644338e+001°)
3.24900958542498e+002	(-2.72660501378198e+001dB,-9.33265042439120e+001°)
3.26028932961054e+002	(-2.72360015700977e+001dB,-9.33379384692033e+001°)
3.27160823423117e+002	(-2.72059533805005e+001dB,-9.33494126765006e+001°)
3.28296643524203e+002	(-2.71759055716524e+001dB,-9.33609270024651e+001°)
3.29436406907033e+002	(-2.71458581461956e+001dB,-9.33724815842279e+001°)
3.30580127261689e+002	(-2.71158111067909e+001dB,-9.33840765593911e+001°)
3.31727818325781e+002	(-2.70857644561172e+001dB,-9.33957120660300e+001°)
3.32879493884614e+002	(-2.70557181968721e+001dB,-9.34073882426940e+001°)
