Freq.	V(oh)
1.51571656651040e+002	(-6.41603303922792e+001dB,1.26657060473755e+002°)
1.52097875324102e+002	(-6.41192047074110e+001dB,1.26750977074025e+002°)
1.52625920896057e+002	(-6.40780304461375e+001dB,1.26844976396373e+002°)
1.53155799709439e+002	(-6.40368075181478e+001dB,1.26939057432837e+002°)
1.53687518128802e+002	(-6.39955358340458e+001dB,1.27033219170554e+002°)
1.54221082540795e+002	(-6.39542153053575e+001dB,1.27127460591810e+002°)
1.54756499354240e+002	(-6.39128458445388e+001dB,1.27221780674078e+002°)
1.55293775000209e+002	(-6.38714273649823e+001dB,1.27316178390069e+002°)
1.55832915932101e+002	(-6.38299597810258e+001dB,1.27410652707771e+002°)
1.56373928625719e+002	(-6.37884430079586e+001dB,1.27505202590501e+002°)
1.56916819579351e+002	(-6.37468769620293e+001dB,1.27599826996950e+002°)
1.57461595313841e+002	(-6.37052615604525e+001dB,1.27694524881227e+002°)
1.58008262372676e+002	(-6.36635967214168e+001dB,1.27789295192912e+002°)
1.58556827322058e+002	(-6.36218823640909e+001dB,1.27884136877101e+002°)
1.59107296750985e+002	(-6.35801184086312e+001dB,1.27979048874457e+002°)
1.59659677271331e+002	(-6.35383047761884e+001dB,1.28074030121260e+002°)
1.60213975517925e+002	(-6.34964413889147e+001dB,1.28169079549454e+002°)
1.60770198148631e+002	(-6.34545281699700e+001dB,1.28264196086702e+002°)
1.61328351844426e+002	(-6.34125650435291e+001dB,1.28359378656436e+002°)
1.61888443309483e+002	(-6.33705519347883e+001dB,1.28454626177906e+002°)
1.62450479271248e+002	(-6.33284887699716e+001dB,1.28549937566239e+002°)
1.63014466480526e+002	(-6.32863754763375e+001dB,1.28645311732484e+002°)
1.63580411711557e+002	(-6.32442119821850e+001dB,1.28740747583673e+002°)
1.64148321762100e+002	(-6.32019982168605e+001dB,1.28836244022869e+002°)
1.64718203453515e+002	(-6.31597341107635e+001dB,1.28931799949227e+002°)
1.65290063630843e+002	(-6.31174195953529e+001dB,1.29027414258041e+002°)
1.65863909162889e+002	(-6.30750546031530e+001dB,1.29123085840810e+002°)
1.66439746942306e+002	(-6.30326390677597e+001dB,1.29218813585283e+002°)
1.67017583885675e+002	(-6.29901729238463e+001dB,1.29314596375526e+002°)
1.67597426933591e+002	(-6.29476561071689e+001dB,1.29410433091970e+002°)
1.68179283050744e+002	(-6.29050885545727e+001dB,1.29506322611478e+002°)
1.68763159226004e+002	(-6.28624702039972e+001dB,1.29602263807394e+002°)
1.69349062472506e+002	(-6.28198009944821e+001dB,1.29698255549608e+002°)
1.69936999827731e+002	(-6.27770808661720e+001dB,1.29794296704613e+002°)
1.70526978353592e+002	(-6.27343097603229e+001dB,1.29890386135566e+002°)
1.71119005136521e+002	(-6.26914876193062e+001dB,1.29986522702343e+002°)
1.71713087287552e+002	(-6.26486143866149e+001dB,1.30082705261606e+002°)
1.72309231942404e+002	(-6.26056900068678e+001dB,1.30178932666861e+002°)
1.72907446261574e+002	(-6.25627144258151e+001dB,1.30275203768519e+002°)
1.73507737430415e+002	(-6.25196875903429e+001dB,1.30371517413957e+002°)
1.74110112659226e+002	(-6.24766094484782e+001dB,1.30467872447582e+002°)
1.74714579183340e+002	(-6.24334799493933e+001dB,1.30564267710894e+002°)
1.75321144263208e+002	(-6.23902990434104e+001dB,1.30660702042548e+002°)
1.75929815184488e+002	(-6.23470666820064e+001dB,1.30757174278414e+002°)
1.76540599258132e+002	(-6.23037828178167e+001dB,1.30853683251648e+002°)
1.77153503820473e+002	(-6.22604474046400e+001dB,1.30950227792749e+002°)
1.77768536233315e+002	(-6.22170603974421e+001dB,1.31046806729630e+002°)
1.78385703884020e+002	(-6.21736217523600e+001dB,1.31143418887676e+002°)
1.79005014185596e+002	(-6.21301314267058e+001dB,1.31240063089815e+002°)
1.79626474576788e+002	(-6.20865893789707e+001dB,1.31336738156579e+002°)
1.80250092522167e+002	(-6.20429955688285e+001dB,1.31433442906175e+002°)
1.80875875512219e+002	(-6.19993499571396e+001dB,1.31530176154546e+002°)
1.81503831063433e+002	(-6.19556525059537e+001dB,1.31626936715440e+002°)
1.82133966718397e+002	(-6.19119031785142e+001dB,1.31723723400476e+002°)
1.82766290045881e+002	(-6.18681019392607e+001dB,1.31820535019213e+002°)
1.83400808640935e+002	(-6.18242487538326e+001dB,1.31917370379216e+002°)
1.84037530124976e+002	(-6.17803435890719e+001dB,1.32014228286121e+002°)
1.84676462145880e+002	(-6.17363864130265e+001dB,1.32111107543708e+002°)
1.85317612378075e+002	(-6.16923771949523e+001dB,1.32208006953965e+002°)
1.85960988522634e+002	(-6.16483159053169e+001dB,1.32304925317161e+002°)
1.86606598307363e+002	(-6.16042025158014e+001dB,1.32401861431907e+002°)
1.87254449486900e+002	(-6.15600369993034e+001dB,1.32498814095233e+002°)
1.87904549842804e+002	(-6.15158193299391e+001dB,1.32595782102652e+002°)
1.88556907183649e+002	(-6.14715494830453e+001dB,1.32692764248233e+002°)
1.89211529345120e+002	(-6.14272274351824e+001dB,1.32789759324664e+002°)
1.89868424190105e+002	(-6.13828531641355e+001dB,1.32886766123331e+002°)
1.90527599608789e+002	(-6.13384266489168e+001dB,1.32983783434379e+002°)
1.91189063518750e+002	(-6.12939478697672e+001dB,1.33080810046789e+002°)
1.91852823865054e+002	(-6.12494168081582e+001dB,1.33177844748441e+002°)
1.92518888620352e+002	(-6.12048334467932e+001dB,1.33274886326193e+002°)
1.93187265784970e+002	(-6.11601977696089e+001dB,1.33371933565944e+002°)
1.93857963387014e+002	(-6.11155097617769e+001dB,1.33468985252706e+002°)
1.94530989482458e+002	(-6.10707694097047e+001dB,1.33566040170680e+002°)
1.95206352155246e+002	(-6.10259767010367e+001dB,1.33663097103318e+002°)
1.95884059517387e+002	(-6.09811316246554e+001dB,1.33760154833403e+002°)
1.96564119709052e+002	(-6.09362341706819e+001dB,1.33857212143113e+002°)
1.97246540898673e+002	(-6.08912843304769e+001dB,1.33954267814095e+002°)
1.97931331283043e+002	(-6.08462820966413e+001dB,1.34051320627536e+002°)
1.98618499087409e+002	(-6.08012274630163e+001dB,1.34148369364234e+002°)
1.99308052565575e+002	(-6.07561204246843e+001dB,1.34245412804669e+002°)
2.00000000000001e+002	(-6.07109609779686e+001dB,1.34342449729074e+002°)
2.00694349701902e+002	(-6.06657491204339e+001dB,1.34439478917506e+002°)
2.01391110011345e+002	(-6.06204848508861e+001dB,1.34536499149919e+002°)
2.02090289297354e+002	(-6.05751681693722e+001dB,1.34633509206233e+002°)
2.02791895958007e+002	(-6.05297990771800e+001dB,1.34730507866406e+002°)
2.03495938420539e+002	(-6.04843775768378e+001dB,1.34827493910506e+002°)
2.04202425141440e+002	(-6.04389036721140e+001dB,1.34924466118783e+002°)
2.04911364606562e+002	(-6.03933773680163e+001dB,1.35021423271735e+002°)
2.05622765331215e+002	(-6.03477986707909e+001dB,1.35118364150185e+002°)
2.06336635860273e+002	(-6.03021675879218e+001dB,1.35215287535352e+002°)
2.07052984768277e+002	(-6.02564841281301e+001dB,1.35312192208916e+002°)
2.07771820659534e+002	(-6.02107483013721e+001dB,1.35409076953094e+002°)
2.08493152168226e+002	(-6.01649601188390e+001dB,1.35505940550711e+002°)
2.09216987958508e+002	(-6.01191195929549e+001dB,1.35602781785267e+002°)
2.09943336724615e+002	(-6.00732267373756e+001dB,1.35699599441009e+002°)
2.10672207190969e+002	(-6.00272815669871e+001dB,1.35796392303005e+002°)
2.11403608112278e+002	(-5.99812840979037e+001dB,1.35893159157210e+002°)
2.12137548273645e+002	(-5.99352343474663e+001dB,1.35989898790535e+002°)
2.12874036490674e+002	(-5.98891323342406e+001dB,1.36086609990923e+002°)
2.13613081609572e+002	(-5.98429780780147e+001dB,1.36183291547414e+002°)
2.14354692507260e+002	(-5.97967715997972e+001dB,1.36279942250215e+002°)
2.15098878091477e+002	(-5.97505129218150e+001dB,1.36376560890770e+002°)
2.15845647300887e+002	(-5.97042020675105e+001dB,1.36473146261832e+002°)
2.16595009105187e+002	(-5.96578390615395e+001dB,1.36569697157528e+002°)
2.17346972505213e+002	(-5.96114239297683e+001dB,1.36666212373429e+002°)
2.18101546533053e+002	(-5.95649566992712e+001dB,1.36762690706619e+002°)
2.18858740252150e+002	(-5.95184373983272e+001dB,1.36859130955765e+002°)
2.19618562757412e+002	(-5.94718660564176e+001dB,1.36955531921182e+002°)
2.20381023175324e+002	(-5.94252427042225e+001dB,1.37051892404903e+002°)
2.21146130664056e+002	(-5.93785673736175e+001dB,1.37148211210746e+002°)
2.21913894413571e+002	(-5.93318400976709e+001dB,1.37244487144380e+002°)
2.22684323645739e+002	(-5.92850609106397e+001dB,1.37340719013396e+002°)
2.23457427614446e+002	(-5.92382298479666e+001dB,1.37436905627369e+002°)
2.24233215605704e+002	(-5.91913469462758e+001dB,1.37533045797927e+002°)
2.25011696937764e+002	(-5.91444122433694e+001dB,1.37629138338817e+002°)
2.25792880961228e+002	(-5.90974257782241e+001dB,1.37725182065970e+002°)
2.26576777059162e+002	(-5.90503875909864e+001dB,1.37821175797566e+002°)
2.27363394647205e+002	(-5.90032977229688e+001dB,1.37917118354102e+002°)
2.28152743173687e+002	(-5.89561562166460e+001dB,1.38013008558453e+002°)
2.28944832119739e+002	(-5.89089631156500e+001dB,1.38108845235941e+002°)
2.29739670999409e+002	(-5.88617184647660e+001dB,1.38204627214393e+002°)
2.30537269359775e+002	(-5.88144223099281e+001dB,1.38300353324209e+002°)
2.31337636781060e+002	(-5.87670746982142e+001dB,1.38396022398426e+002°)
2.32140782876746e+002	(-5.87196756778417e+001dB,1.38491633272777e+002°)
2.32946717293693e+002	(-5.86722252981624e+001dB,1.38587184785758e+002°)
2.33755449712251e+002	(-5.86247236096578e+001dB,1.38682675778684e+002°)
2.34566989846378e+002	(-5.85771706639340e+001dB,1.38778105095760e+002°)
2.35381347443756e+002	(-5.85295665137166e+001dB,1.38873471584131e+002°)
2.36198532285908e+002	(-5.84819112128454e+001dB,1.38968774093954e+002°)
2.37018554188319e+002	(-5.84342048162691e+001dB,1.39064011478448e+002°)
2.37841423000546e+002	(-5.83864473800402e+001dB,1.39159182593963e+002°)
2.38667148606347e+002	(-5.83386389613092e+001dB,1.39254286300033e+002°)
2.39495740923788e+002	(-5.82907796183188e+001dB,1.39349321459438e+002°)
2.40327209905372e+002	(-5.82428694103987e+001dB,1.39444286938262e+002°)
2.41161565538154e+002	(-5.81949083979598e+001dB,1.39539181605952e+002°)
2.41998817843861e+002	(-5.81468966424876e+001dB,1.39634004335374e+002°)
2.42838976879012e+002	(-5.80988342065374e+001dB,1.39728754002870e+002°)
2.43682052735041e+002	(-5.80507211537271e+001dB,1.39823429488317e+002°)
2.44528055538416e+002	(-5.80025575487320e+001dB,1.39918029675179e+002°)
2.45376995450763e+002	(-5.79543434572780e+001dB,1.40012553450569e+002°)
2.46228882668986e+002	(-5.79060789461354e+001dB,1.40106999705295e+002°)
2.47083727425388e+002	(-5.78577640831127e+001dB,1.40201367333925e+002°)
2.47941539987800e+002	(-5.78093989370500e+001dB,1.40295655234831e+002°)
2.48802330659696e+002	(-5.77609835778126e+001dB,1.40389862310251e+002°)
2.49666109780325e+002	(-5.77125180762840e+001dB,1.40483987466337e+002°)
2.50532887724828e+002	(-5.76640025043595e+001dB,1.40578029613206e+002°)
2.51402674904368e+002	(-5.76154369349395e+001dB,1.40671987664998e+002°)
2.52275481766252e+002	(-5.75668214419221e+001dB,1.40765860539921e+002°)
2.53151318794058e+002	(-5.75181561001970e+001dB,1.40859647160306e+002°)
2.54030196507760e+002	(-5.74694409856375e+001dB,1.40953346452655e+002°)
2.54912125463855e+002	(-5.74206761750944e+001dB,1.41046957347690e+002°)
2.55797116255488e+002	(-5.73718617463881e+001dB,1.41140478780406e+002°)
2.56685179512583e+002	(-5.73229977783015e+001dB,1.41233909690112e+002°)
2.57576325901968e+002	(-5.72740843505732e+001dB,1.41327249020488e+002°)
2.58470566127501e+002	(-5.72251215438895e+001dB,1.41420495719624e+002°)
2.59367910930205e+002	(-5.71761094398772e+001dB,1.41513648740071e+002°)
2.60268371088389e+002	(-5.71270481210963e+001dB,1.41606707038888e+002°)
2.61171957417786e+002	(-5.70779376710321e+001dB,1.41699669577683e+002°)
2.62078680771675e+002	(-5.70287781740879e+001dB,1.41792535322662e+002°)
2.62988552041017e+002	(-5.69795697155770e+001dB,1.41885303244671e+002°)
2.63901582154582e+002	(-5.69303123817151e+001dB,1.41977972319239e+002°)
2.64817782079082e+002	(-5.68810062596127e+001dB,1.42070541526625e+002°)
2.65737162819305e+002	(-5.68316514372667e+001dB,1.42163009851854e+002°)
2.66659735418243e+002	(-5.67822480035531e+001dB,1.42255376284765e+002°)
2.67585510957225e+002	(-5.67327960482186e+001dB,1.42347639820046e+002°)
2.68514500556056e+002	(-5.66832956618728e+001dB,1.42439799457281e+002°)
2.69446715373141e+002	(-5.66337469359799e+001dB,1.42531854200985e+002°)
2.70382166605628e+002	(-5.65841499628507e+001dB,1.42623803060643e+002°)
2.71320865489537e+002	(-5.65345048356346e+001dB,1.42715645050751e+002°)
2.72262823299898e+002	(-5.64848116483110e+001dB,1.42807379190854e+002°)
2.73208051350882e+002	(-5.64350704956813e+001dB,1.42899004505581e+002°)
2.74156560995944e+002	(-5.63852814733605e+001dB,1.42990520024683e+002°)
2.75108363627952e+002	(-5.63354446777688e+001dB,1.43081924783068e+002°)
2.76063470679329e+002	(-5.62855602061233e+001dB,1.43173217820838e+002°)
2.77021893622188e+002	(-5.62356281564293e+001dB,1.43264398183320e+002°)
2.77983643968470e+002	(-5.61856486274723e+001dB,1.43355464921104e+002°)
2.78948733270084e+002	(-5.61356217188088e+001dB,1.43446417090076e+002°)
2.79917173119042e+002	(-5.60855475307584e+001dB,1.43537253751447e+002°)
2.80888975147603e+002	(-5.60354261643947e+001dB,1.43627973971788e+002°)
2.81864151028407e+002	(-5.59852577215371e+001dB,1.43718576823059e+002°)
2.82842712474622e+002	(-5.59350423047418e+001dB,1.43809061382645e+002°)
2.83824671240080e+002	(-5.58847800172930e+001dB,1.43899426733377e+002°)
2.84810039119418e+002	(-5.58344709631947e+001dB,1.43989671963571e+002°)
2.85798827948222e+002	(-5.57841152471616e+001dB,1.44079796167050e+002°)
2.86791049603169e+002	(-5.57337129746100e+001dB,1.44169798443172e+002°)
2.87786716002167e+002	(-5.56832642516498e+001dB,1.44259677896864e+002°)
2.88785839104502e+002	(-5.56327691850748e+001dB,1.44349433638639e+002°)
2.89788430910979e+002	(-5.55822278823545e+001dB,1.44439064784630e+002°)
2.90794503464065e+002	(-5.55316404516248e+001dB,1.44528570456612e+002°)
2.91804068848038e+002	(-5.54810070016793e+001dB,1.44617949782025e+002°)
2.92817139189128e+002	(-5.54303276419604e+001dB,1.44707201894002e+002°)
2.93833726655665e+002	(-5.53796024825502e+001dB,1.44796325931389e+002°)
2.94853843458224e+002	(-5.53288316341616e+001dB,1.44885321038768e+002°)
2.95877501849771e+002	(-5.52780152081295e+001dB,1.44974186366482e+002°)
2.96904714125813e+002	(-5.52271533164014e+001dB,1.45062921070652e+002°)
2.97935492624544e+002	(-5.51762460715289e+001dB,1.45151524313200e+002°)
2.98969849726991e+002	(-5.51252935866583e+001dB,1.45239995261871e+002°)
3.00007797857167e+002	(-5.50742959755219e+001dB,1.45328333090246e+002°)
3.01049349482217e+002	(-5.50232533524287e+001dB,1.45416536977768e+002°)
3.02094517112569e+002	(-5.49721658322552e+001dB,1.45504606109755e+002°)
3.03143313302083e+002	(-5.49210335304371e+001dB,1.45592539677421e+002°)
3.04195750648205e+002	(-5.48698565629592e+001dB,1.45680336877888e+002°)
3.05251841792115e+002	(-5.48186350463473e+001dB,1.45767996914207e+002°)
3.06311599418880e+002	(-5.47673690976585e+001dB,1.45855518995370e+002°)
3.07375036257606e+002	(-5.47160588344723e+001dB,1.45942902336327e+002°)
3.08442165081592e+002	(-5.46647043748818e+001dB,1.46030146157999e+002°)
3.09512998708482e+002	(-5.46133058374841e+001dB,1.46117249687291e+002°)
3.10587550000420e+002	(-5.45618633413720e+001dB,1.46204212157106e+002°)
3.11665831864204e+002	(-5.45103770061240e+001dB,1.46291032806355e+002°)
3.12747857251441e+002	(-5.44588469517961e+001dB,1.46377710879972e+002°)
3.13833639158704e+002	(-5.44072732989122e+001dB,1.46464245628923e+002°)
3.14923190627685e+002	(-5.43556561684552e+001dB,1.46550636310215e+002°)
3.16016524745355e+002	(-5.43039956818580e+001dB,1.46636882186907e+002°)
3.17113654644118e+002	(-5.42522919609946e+001dB,1.46722982528121e+002°)
3.18214593501971e+002	(-5.42005451281708e+001dB,1.46808936609047e+002°)
3.19319354542664e+002	(-5.41487553061154e+001dB,1.46894743710951e+002°)
3.20427951035853e+002	(-5.40969226179709e+001dB,1.46980403121185e+002°)
3.21540396297264e+002	(-5.40450471872850e+001dB,1.47065914133193e+002°)
3.22656703688854e+002	(-5.39931291380012e+001dB,1.47151276046512e+002°)
3.23776886618967e+002	(-5.39411685944501e+001dB,1.47236488166786e+002°)
3.24900958542498e+002	(-5.38891656813402e+001dB,1.47321549805762e+002°)
3.26028932961054e+002	(-5.38371205237493e+001dB,1.47406460281300e+002°)
3.27160823423117e+002	(-5.37850332471152e+001dB,1.47491218917374e+002°)
3.28296643524203e+002	(-5.37329039772273e+001dB,1.47575825044075e+002°)
3.29436406907033e+002	(-5.36807328402172e+001dB,1.47660277997617e+002°)
3.30580127261689e+002	(-5.36285199625501e+001dB,1.47744577120332e+002°)
3.31727818325781e+002	(-5.35762654710162e+001dB,1.47828721760676e+002°)
3.32879493884614e+002	(-5.35239694927214e+001dB,1.47912711273229e+002°)
3.34035167771352e+002	(-5.34716321550791e+001dB,1.47996545018695e+002°)
3.35194853867184e+002	(-5.34192535858007e+001dB,1.48080222363900e+002°)
3.36358566101490e+002	(-5.33668339128877e+001dB,1.48163742681792e+002°)
3.37526318452012e+002	(-5.33143732646223e+001dB,1.48247105351441e+002°)
3.38698124945015e+002	(-5.32618717695591e+001dB,1.48330309758034e+002°)
3.39873999655465e+002	(-5.32093295565165e+001dB,1.48413355292872e+002°)
3.41053956707187e+002	(-5.31567467545677e+001dB,1.48496241353371e+002°)
3.42238010273045e+002	(-5.31041234930324e+001dB,1.48578967343052e+002°)
3.43426174575106e+002	(-5.30514599014683e+001dB,1.48661532671544e+002°)
3.44618463884811e+002	(-5.29987561096623e+001dB,1.48743936754570e+002°)
