Freq.	V(ch_full)
1.31494276020508e+002	(-3.51161015310879e+001dB,-9.12449929343710e+001°)
1.31950791077290e+002	(-3.50860055046480e+001dB,-9.12490515746768e+001°)
1.32408891039540e+002	(-3.50559095264819e+001dB,-9.12531252129115e+001°)
1.32868581409652e+002	(-3.50258135969268e+001dB,-9.12572138979543e+001°)
1.33329867709120e+002	(-3.49957177163221e+001dB,-9.12613176788644e+001°)
1.33792755478612e+002	(-3.49656218850097e+001dB,-9.12654366048822e+001°)
1.34257250278027e+002	(-3.49355261033340e+001dB,-9.12695707254289e+001°)
1.34723357686569e+002	(-3.49054303716416e+001dB,-9.12737200901083e+001°)
1.35191083302813e+002	(-3.48753346902815e+001dB,-9.12778847487063e+001°)
1.35660432744768e+002	(-3.48452390596052e+001dB,-9.12820647511921e+001°)
1.36131411649948e+002	(-3.48151434799666e+001dB,-9.12862601477185e+001°)
1.36604025675440e+002	(-3.47850479517219e+001dB,-9.12904709886230e+001°)
1.37078280497971e+002	(-3.47549524752301e+001dB,-9.12946973244276e+001°)
1.37554181813975e+002	(-3.47248570508524e+001dB,-9.12989392058400e+001°)
1.38031735339663e+002	(-3.46947616789527e+001dB,-9.13031966837542e+001°)
1.38510946811093e+002	(-3.46646663598971e+001dB,-9.13074698092506e+001°)
1.38991821984234e+002	(-3.46345710940546e+001dB,-9.13117586335974e+001°)
1.39474366635041e+002	(-3.46044758817967e+001dB,-9.13160632082502e+001°)
1.39958586559520e+002	(-3.45743807234971e+001dB,-9.13203835848537e+001°)
1.40444487573800e+002	(-3.45442856195327e+001dB,-9.13247198152415e+001°)
1.40932075514202e+002	(-3.45141905702824e+001dB,-9.13290719514370e+001°)
1.41421356237310e+002	(-3.44840955761281e+001dB,-9.13334400456541e+001°)
1.41912335620039e+002	(-3.44540006374543e+001dB,-9.13378241502977e+001°)
1.42405019559708e+002	(-3.44239057546481e+001dB,-9.13422243179643e+001°)
1.42899413974110e+002	(-3.43938109280992e+001dB,-9.13466406014429e+001°)
1.43395524801583e+002	(-3.43637161582002e+001dB,-9.13510730537152e+001°)
1.43893358001083e+002	(-3.43336214453463e+001dB,-9.13555217279566e+001°)
1.44392919552250e+002	(-3.43035267899353e+001dB,-9.13599866775364e+001°)
1.44894215455488e+002	(-3.42734321923681e+001dB,-9.13644679560190e+001°)
1.45397251732032e+002	(-3.42433376530481e+001dB,-9.13689656171642e+001°)
1.45902034424018e+002	(-3.42132431723816e+001dB,-9.13734797149278e+001°)
1.46408569594563e+002	(-3.41831487507777e+001dB,-9.13780103034622e+001°)
1.46916863327831e+002	(-3.41530543886483e+001dB,-9.13825574371176e+001°)
1.47426921729111e+002	(-3.41229600864082e+001dB,-9.13871211704417e+001°)
1.47938750924884e+002	(-3.40928658444750e+001dB,-9.13917015581812e+001°)
1.48452357062906e+002	(-3.40627716632694e+001dB,-9.13962986552820e+001°)
1.48967746312271e+002	(-3.40326775432147e+001dB,-9.14009125168899e+001°)
1.49484924863494e+002	(-3.40025834847374e+001dB,-9.14055431983514e+001°)
1.50003898928582e+002	(-3.39724894882669e+001dB,-9.14101907552144e+001°)
1.50524674741107e+002	(-3.39423955542354e+001dB,-9.14148552432284e+001°)
1.51047258556283e+002	(-3.39123016830784e+001dB,-9.14195367183458e+001°)
1.51571656651040e+002	(-3.38822078752341e+001dB,-9.14242352367221e+001°)
1.52097875324102e+002	(-3.38521141311439e+001dB,-9.14289508547168e+001°)
1.52625920896057e+002	(-3.38220204512523e+001dB,-9.14336836288940e+001°)
1.53155799709439e+002	(-3.37919268360069e+001dB,-9.14384336160231e+001°)
1.53687518128802e+002	(-3.37618332858582e+001dB,-9.14432008730792e+001°)
1.54221082540795e+002	(-3.37317398012600e+001dB,-9.14479854572443e+001°)
1.54756499354240e+002	(-3.37016463826692e+001dB,-9.14527874259075e+001°)
1.55293775000209e+002	(-3.36715530305459e+001dB,-9.14576068366661e+001°)
1.55832915932101e+002	(-3.36414597453534e+001dB,-9.14624437473259e+001°)
1.56373928625719e+002	(-3.36113665275580e+001dB,-9.14672982159019e+001°)
1.56916819579351e+002	(-3.35812733776296e+001dB,-9.14721703006195e+001°)
1.57461595313841e+002	(-3.35511802960411e+001dB,-9.14770600599145e+001°)
1.58008262372676e+002	(-3.35210872832687e+001dB,-9.14819675524342e+001°)
1.58556827322058e+002	(-3.34909943397919e+001dB,-9.14868928370382e+001°)
1.59107296750985e+002	(-3.34609014660937e+001dB,-9.14918359727985e+001°)
1.59659677271331e+002	(-3.34308086626603e+001dB,-9.14967970190010e+001°)
1.60213975517925e+002	(-3.34007159299812e+001dB,-9.15017760351457e+001°)
1.60770198148631e+002	(-3.33706232685494e+001dB,-9.15067730809474e+001°)
1.61328351844426e+002	(-3.33405306788614e+001dB,-9.15117882163367e+001°)
1.61888443309483e+002	(-3.33104381614170e+001dB,-9.15168215014602e+001°)
1.62450479271248e+002	(-3.32803457167195e+001dB,-9.15218729966820e+001°)
1.63014466480526e+002	(-3.32502533452757e+001dB,-9.15269427625837e+001°)
1.63580411711557e+002	(-3.32201610475960e+001dB,-9.15320308599653e+001°)
1.64148321762100e+002	(-3.31900688241942e+001dB,-9.15371373498463e+001°)
1.64718203453515e+002	(-3.31599766755877e+001dB,-9.15422622934658e+001°)
1.65290063630843e+002	(-3.31298846022975e+001dB,-9.15474057522836e+001°)
1.65863909162889e+002	(-3.30997926048483e+001dB,-9.15525677879811e+001°)
1.66439746942306e+002	(-3.30697006837683e+001dB,-9.15577484624617e+001°)
1.67017583885675e+002	(-3.30396088395895e+001dB,-9.15629478378514e+001°)
1.67597426933591e+002	(-3.30095170728476e+001dB,-9.15681659765000e+001°)
1.68179283050744e+002	(-3.29794253840817e+001dB,-9.15734029409817e+001°)
1.68763159226004e+002	(-3.29493337738351e+001dB,-9.15786587940956e+001°)
1.69349062472506e+002	(-3.29192422426545e+001dB,-9.15839335988665e+001°)
1.69936999827731e+002	(-3.28891507910906e+001dB,-9.15892274185459e+001°)
1.70526978353592e+002	(-3.28590594196979e+001dB,-9.15945403166126e+001°)
1.71119005136521e+002	(-3.28289681290347e+001dB,-9.15998723567734e+001°)
1.71713087287552e+002	(-3.27988769196631e+001dB,-9.16052236029637e+001°)
1.72309231942404e+002	(-3.27687857921493e+001dB,-9.16105941193487e+001°)
1.72907446261574e+002	(-3.27386947470632e+001dB,-9.16159839703239e+001°)
1.73507737430415e+002	(-3.27086037849788e+001dB,-9.16213932205157e+001°)
1.74110112659226e+002	(-3.26785129064741e+001dB,-9.16268219347825e+001°)
1.74714579183340e+002	(-3.26484221121310e+001dB,-9.16322701782152e+001°)
1.75321144263208e+002	(-3.26183314025355e+001dB,-9.16377380161380e+001°)
1.75929815184488e+002	(-3.25882407782777e+001dB,-9.16432255141094e+001°)
1.76540599258132e+002	(-3.25581502399517e+001dB,-9.16487327379228e+001°)
1.77153503820473e+002	(-3.25280597881558e+001dB,-9.16542597536071e+001°)
1.77768536233315e+002	(-3.24979694234925e+001dB,-9.16598066274279e+001°)
1.78385703884020e+002	(-3.24678791465683e+001dB,-9.16653734258880e+001°)
1.79005014185596e+002	(-3.24377889579941e+001dB,-9.16709602157281e+001°)
1.79626474576788e+002	(-3.24076988583849e+001dB,-9.16765670639279e+001°)
1.80250092522167e+002	(-3.23776088483600e+001dB,-9.16821940377067e+001°)
1.80875875512219e+002	(-3.23475189285431e+001dB,-9.16878412045240e+001°)
1.81503831063433e+002	(-3.23174290995622e+001dB,-9.16935086320808e+001°)
1.82133966718397e+002	(-3.22873393620495e+001dB,-9.16991963883200e+001°)
1.82766290045881e+002	(-3.22572497166417e+001dB,-9.17049045414273e+001°)
1.83400808640935e+002	(-3.22271601639799e+001dB,-9.17106331598320e+001°)
1.84037530124976e+002	(-3.21970707047098e+001dB,-9.17163823122078e+001°)
1.84676462145880e+002	(-3.21669813394813e+001dB,-9.17221520674736e+001°)
1.85317612378075e+002	(-3.21368920689490e+001dB,-9.17279424947946e+001°)
1.85960988522634e+002	(-3.21068028937720e+001dB,-9.17337536635826e+001°)
1.86606598307363e+002	(-3.20767138146140e+001dB,-9.17395856434971e+001°)
1.87254449486900e+002	(-3.20466248321433e+001dB,-9.17454385044463e+001°)
1.87904549842804e+002	(-3.20165359470327e+001dB,-9.17513123165875e+001°)
1.88556907183649e+002	(-3.19864471599599e+001dB,-9.17572071503282e+001°)
1.89211529345120e+002	(-3.19563584716072e+001dB,-9.17631230763271e+001°)
1.89868424190105e+002	(-3.19262698826615e+001dB,-9.17690601654944e+001°)
1.90527599608789e+002	(-3.18961813938147e+001dB,-9.17750184889932e+001°)
1.91189063518750e+002	(-3.18660930057633e+001dB,-9.17809981182400e+001°)
1.91852823865054e+002	(-3.18360047192089e+001dB,-9.17869991249056e+001°)
1.92518888620352e+002	(-3.18059165348576e+001dB,-9.17930215809160e+001°)
1.93187265784970e+002	(-3.17758284534207e+001dB,-9.17990655584532e+001°)
1.93857963387014e+002	(-3.17457404756143e+001dB,-9.18051311299562e+001°)
1.94530989482458e+002	(-3.17156526021595e+001dB,-9.18112183681217e+001°)
1.95206352155246e+002	(-3.16855648337825e+001dB,-9.18173273459047e+001°)
1.95884059517387e+002	(-3.16554771712144e+001dB,-9.18234581365201e+001°)
1.96564119709052e+002	(-3.16253896151913e+001dB,-9.18296108134428e+001°)
1.97246540898673e+002	(-3.15953021664547e+001dB,-9.18357854504089e+001°)
1.97931331283043e+002	(-3.15652148257511e+001dB,-9.18419821214166e+001°)
1.98618499087409e+002	(-3.15351275938320e+001dB,-9.18482009007270e+001°)
1.99308052565575e+002	(-3.15050404714544e+001dB,-9.18544418628651e+001°)
2.00000000000001e+002	(-3.14749534593803e+001dB,-9.18607050826202e+001°)
2.00694349701902e+002	(-3.14448665583773e+001dB,-9.18669906350476e+001°)
2.01391110011345e+002	(-3.14147797692180e+001dB,-9.18732985954687e+001°)
2.02090289297354e+002	(-3.13846930926807e+001dB,-9.18796290394723e+001°)
2.02791895958007e+002	(-3.13546065295487e+001dB,-9.18859820429154e+001°)
2.03495938420539e+002	(-3.13245200806110e+001dB,-9.18923576819242e+001°)
2.04202425141440e+002	(-3.12944337466621e+001dB,-9.18987560328946e+001°)
2.04911364606562e+002	(-3.12643475285019e+001dB,-9.19051771724936e+001°)
2.05622765331215e+002	(-3.12342614269360e+001dB,-9.19116211776601e+001°)
2.06336635860273e+002	(-3.12041754427753e+001dB,-9.19180881256053e+001°)
2.07052984768277e+002	(-3.11740895768366e+001dB,-9.19245780938143e+001°)
2.07771820659534e+002	(-3.11440038299422e+001dB,-9.19310911600467e+001°)
2.08493152168226e+002	(-3.11139182029204e+001dB,-9.19376274023373e+001°)
2.09216987958508e+002	(-3.10838326966049e+001dB,-9.19441868989974e+001°)
2.09943336724615e+002	(-3.10537473118353e+001dB,-9.19507697286155e+001°)
2.10672207190969e+002	(-3.10236620494571e+001dB,-9.19573759700584e+001°)
2.11403608112278e+002	(-3.09935769103216e+001dB,-9.19640057024717e+001°)
2.12137548273645e+002	(-3.09634918952861e+001dB,-9.19706590052814e+001°)
2.12874036490674e+002	(-3.09334070052137e+001dB,-9.19773359581941e+001°)
2.13613081609572e+002	(-3.09033222409737e+001dB,-9.19840366411986e+001°)
2.14354692507260e+002	(-3.08732376034411e+001dB,-9.19907611345663e+001°)
2.15098878091477e+002	(-3.08431530934974e+001dB,-9.19975095188526e+001°)
2.15845647300887e+002	(-3.08130687120298e+001dB,-9.20042818748973e+001°)
2.16595009105187e+002	(-3.07829844599320e+001dB,-9.20110782838262e+001°)
2.17346972505213e+002	(-3.07529003381038e+001dB,-9.20178988270515e+001°)
2.18101546533053e+002	(-3.07228163474510e+001dB,-9.20247435862730e+001°)
2.18858740252150e+002	(-3.06927324888861e+001dB,-9.20316126434792e+001°)
2.19618562757412e+002	(-3.06626487633276e+001dB,-9.20385060809478e+001°)
2.20381023175324e+002	(-3.06325651717006e+001dB,-9.20454239812472e+001°)
2.21146130664056e+002	(-3.06024817149365e+001dB,-9.20523664272372e+001°)
2.21913894413571e+002	(-3.05723983939731e+001dB,-9.20593335020697e+001°)
2.22684323645739e+002	(-3.05423152097549e+001dB,-9.20663252891903e+001°)
2.23457427614446e+002	(-3.05122321632328e+001dB,-9.20733418723388e+001°)
2.24233215605704e+002	(-3.04821492553644e+001dB,-9.20803833355503e+001°)
2.25011696937764e+002	(-3.04520664871138e+001dB,-9.20874497631563e+001°)
2.25792880961228e+002	(-3.04219838594521e+001dB,-9.20945412397854e+001°)
2.26576777059162e+002	(-3.03919013733567e+001dB,-9.21016578503646e+001°)
2.27363394647205e+002	(-3.03618190298121e+001dB,-9.21087996801203e+001°)
2.28152743173687e+002	(-3.03317368298097e+001dB,-9.21159668145789e+001°)
2.28944832119739e+002	(-3.03016547743474e+001dB,-9.21231593395683e+001°)
2.29739670999409e+002	(-3.02715728644304e+001dB,-9.21303773412184e+001°)
2.30537269359775e+002	(-3.02414911010707e+001dB,-9.21376209059626e+001°)
2.31337636781060e+002	(-3.02114094852873e+001dB,-9.21448901205386e+001°)
2.32140782876746e+002	(-3.01813280181065e+001dB,-9.21521850719893e+001°)
2.32946717293693e+002	(-3.01512467005614e+001dB,-9.21595058476639e+001°)
2.33755449712251e+002	(-3.01211655336924e+001dB,-9.21668525352190e+001°)
2.34566989846378e+002	(-3.00910845185473e+001dB,-9.21742252226194e+001°)
2.35381347443756e+002	(-3.00610036561809e+001dB,-9.21816239981395e+001°)
2.36198532285908e+002	(-3.00309229476554e+001dB,-9.21890489503641e+001°)
2.37018554188319e+002	(-3.00008423940406e+001dB,-9.21965001681893e+001°)
2.37841423000546e+002	(-2.99707619964133e+001dB,-9.22039777408237e+001°)
2.38667148606347e+002	(-2.99406817558583e+001dB,-9.22114817577895e+001°)
2.39495740923788e+002	(-2.99106016734673e+001dB,-9.22190123089235e+001°)
2.40327209905372e+002	(-2.98805217503402e+001dB,-9.22265694843780e+001°)
2.41161565538154e+002	(-2.98504419875841e+001dB,-9.22341533746220e+001°)
2.41998817843861e+002	(-2.98203623863140e+001dB,-9.22417640704423e+001°)
2.42838976879012e+002	(-2.97902829476525e+001dB,-9.22494016629445e+001°)
2.43682052735041e+002	(-2.97602036727301e+001dB,-9.22570662435537e+001°)
2.44528055538416e+002	(-2.97301245626851e+001dB,-9.22647579040164e+001°)
2.45376995450763e+002	(-2.97000456186638e+001dB,-9.22724767364007e+001°)
2.46228882668986e+002	(-2.96699668418202e+001dB,-9.22802228330980e+001°)
2.47083727425388e+002	(-2.96398882333166e+001dB,-9.22879962868235e+001°)
2.47941539987800e+002	(-2.96098097943232e+001dB,-9.22957971906179e+001°)
2.48802330659696e+002	(-2.95797315260183e+001dB,-9.23036256378480e+001°)
2.49666109780325e+002	(-2.95496534295886e+001dB,-9.23114817222080e+001°)
2.50532887724828e+002	(-2.95195755062287e+001dB,-9.23193655377207e+001°)
2.51402674904368e+002	(-2.94894977571417e+001dB,-9.23272771787382e+001°)
2.52275481766252e+002	(-2.94594201835390e+001dB,-9.23352167399434e+001°)
2.53151318794058e+002	(-2.94293427866406e+001dB,-9.23431843163509e+001°)
2.54030196507760e+002	(-2.93992655676745e+001dB,-9.23511800033081e+001°)
2.54912125463855e+002	(-2.93691885278777e+001dB,-9.23592038964964e+001°)
2.55797116255488e+002	(-2.93391116684955e+001dB,-9.23672560919323e+001°)
2.56685179512583e+002	(-2.93090349907820e+001dB,-9.23753366859684e+001°)
2.57576325901968e+002	(-2.92789584959999e+001dB,-9.23834457752946e+001°)
2.58470566127501e+002	(-2.92488821854207e+001dB,-9.23915834569393e+001°)
2.59367910930205e+002	(-2.92188060603248e+001dB,-9.23997498282703e+001°)
2.60268371088389e+002	(-2.91887301220012e+001dB,-9.24079449869963e+001°)
2.61171957417786e+002	(-2.91586543717482e+001dB,-9.24161690311675e+001°)
2.62078680771675e+002	(-2.91285788108729e+001dB,-9.24244220591772e+001°)
2.62988552041017e+002	(-2.90985034406916e+001dB,-9.24327041697629e+001°)
2.63901582154582e+002	(-2.90684282625296e+001dB,-9.24410154620071e+001°)
2.64817782079082e+002	(-2.90383532777214e+001dB,-9.24493560353388e+001°)
2.65737162819305e+002	(-2.90082784876110e+001dB,-9.24577259895345e+001°)
2.66659735418243e+002	(-2.89782038935514e+001dB,-9.24661254247193e+001°)
2.67585510957225e+002	(-2.89481294969051e+001dB,-9.24745544413682e+001°)
2.68514500556056e+002	(-2.89180552990441e+001dB,-9.24830131403073e+001°)
2.69446715373141e+002	(-2.88879813013500e+001dB,-9.24915016227147e+001°)
2.70382166605628e+002	(-2.88579075052138e+001dB,-9.25000199901218e+001°)
2.71320865489537e+002	(-2.88278339120363e+001dB,-9.25085683444147e+001°)
2.72262823299898e+002	(-2.87977605232279e+001dB,-9.25171467878351e+001°)
2.73208051350882e+002	(-2.87676873402089e+001dB,-9.25257554229815e+001°)
2.74156560995944e+002	(-2.87376143644093e+001dB,-9.25343943528104e+001°)
2.75108363627952e+002	(-2.87075415972693e+001dB,-9.25430636806378e+001°)
2.76063470679329e+002	(-2.86774690402387e+001dB,-9.25517635101399e+001°)
2.77021893622188e+002	(-2.86473966947776e+001dB,-9.25604939453546e+001°)
2.77983643968470e+002	(-2.86173245623563e+001dB,-9.25692550906825e+001°)
2.78948733270084e+002	(-2.85872526444552e+001dB,-9.25780470508885e+001°)
2.79917173119042e+002	(-2.85571809425649e+001dB,-9.25868699311025e+001°)
2.80888975147603e+002	(-2.85271094581864e+001dB,-9.25957238368210e+001°)
2.81864151028407e+002	(-2.84970381928311e+001dB,-9.26046088739081e+001°)
2.82842712474622e+002	(-2.84669671480210e+001dB,-9.26135251485968e+001°)
2.83824671240080e+002	(-2.84368963252885e+001dB,-9.26224727674901e+001°)
2.84810039119418e+002	(-2.84068257261767e+001dB,-9.26314518375625e+001°)
2.85798827948222e+002	(-2.83767553522395e+001dB,-9.26404624661610e+001°)
2.86791049603169e+002	(-2.83466852050413e+001dB,-9.26495047610065e+001°)
2.87786716002167e+002	(-2.83166152861576e+001dB,-9.26585788301948e+001°)
2.88785839104502e+002	(-2.82865455971748e+001dB,-9.26676847821980e+001°)
2.89788430910979e+002	(-2.82564761396902e+001dB,-9.26768227258658e+001°)
2.90794503464065e+002	(-2.82264069153123e+001dB,-9.26859927704266e+001°)
2.91804068848038e+002	(-2.81963379256606e+001dB,-9.26951950254890e+001°)
2.92817139189128e+002	(-2.81662691723660e+001dB,-9.27044296010427e+001°)
2.93833726655665e+002	(-2.81362006570707e+001dB,-9.27136966074601e+001°)
2.94853843458224e+002	(-2.81061323814281e+001dB,-9.27229961554973e+001°)
2.95877501849771e+002	(-2.80760643471033e+001dB,-9.27323283562957e+001°)
2.96904714125813e+002	(-2.80459965557728e+001dB,-9.27416933213828e+001°)
2.97935492624544e+002	(-2.80159290091248e+001dB,-9.27510911626740e+001°)
2.98969849726991e+002	(-2.79858617088592e+001dB,-9.27605219924735e+001°)
3.00007797857167e+002	(-2.79557946566876e+001dB,-9.27699859234757e+001°)
3.01049349482217e+002	(-2.79257278543336e+001dB,-9.27794830687666e+001°)
3.02094517112569e+002	(-2.78956613035327e+001dB,-9.27890135418250e+001°)
3.03143313302083e+002	(-2.78655950060324e+001dB,-9.27985774565238e+001°)
3.04195750648205e+002	(-2.78355289635923e+001dB,-9.28081749271311e+001°)
3.05251841792115e+002	(-2.78054631779844e+001dB,-9.28178060683121e+001°)
3.06311599418880e+002	(-2.77753976509927e+001dB,-9.28274709951297e+001°)
3.07375036257606e+002	(-2.77453323844138e+001dB,-9.28371698230464e+001°)
3.08442165081592e+002	(-2.77152673800566e+001dB,-9.28469026679250e+001°)
3.09512998708482e+002	(-2.76852026397427e+001dB,-9.28566696460307e+001°)
3.10587550000420e+002	(-2.76551381653062e+001dB,-9.28664708740318e+001°)
3.11665831864204e+002	(-2.76250739585939e+001dB,-9.28763064690012e+001°)
3.12747857251441e+002	(-2.75950100214656e+001dB,-9.28861765484179e+001°)
3.13833639158704e+002	(-2.75649463557937e+001dB,-9.28960812301681e+001°)
3.14923190627685e+002	(-2.75348829634639e+001dB,-9.29060206325468e+001°)
3.16016524745355e+002	(-2.75048198463747e+001dB,-9.29159948742590e+001°)
3.17113654644118e+002	(-2.74747570064379e+001dB,-9.29260040744209e+001°)
3.18214593501971e+002	(-2.74446944455786e+001dB,-9.29360483525615e+001°)
3.19319354542664e+002	(-2.74146321657352e+001dB,-9.29461278286241e+001°)
3.20427951035853e+002	(-2.73845701688594e+001dB,-9.29562426229671e+001°)
3.21540396297264e+002	(-2.73545084569167e+001dB,-9.29663928563660e+001°)
3.22656703688854e+002	(-2.73244470318860e+001dB,-9.29765786500143e+001°)
3.23776886618967e+002	(-2.72943858957599e+001dB,-9.29868001255251e+001°)
3.24900958542498e+002	(-2.72643250505451e+001dB,-9.29970574049326e+001°)
3.26028932961054e+002	(-2.72342644982620e+001dB,-9.30073506106932e+001°)
3.27160823423117e+002	(-2.72042042409448e+001dB,-9.30176798656870e+001°)
3.28296643524203e+002	(-2.71741442806423e+001dB,-9.30280452932194e+001°)
3.29436406907033e+002	(-2.71440846194171e+001dB,-9.30384470170220e+001°)
3.30580127261689e+002	(-2.71140252593463e+001dB,-9.30488851612548e+001°)
3.31727818325781e+002	(-2.70839662025212e+001dB,-9.30593598505066e+001°)
3.32879493884614e+002	(-2.70539074510478e+001dB,-9.30698712097973e+001°)
